,TenantId,TimeGenerated,FlowStartTime,FlowEndTime,FlowIntervalEndTime,FlowType,ResourceGroup,VMName,VMIPAddress,PublicIPs,SrcIP,DestIP,L4Protocol,L7Protocol,DestPort,FlowDirection,AllowedOutFlows,AllowedInFlows,DeniedInFlows,DeniedOutFlows,RemoteRegion,VMRegion,AllExtIPs,TotalAllowedFlows
881,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.697,2019-02-12 13:00:07.000,2019-02-12 13:45:08.000,2019-02-12 14:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['65.55.44.109'],,,T,https,443.0,O,4.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,4.0
877,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.681,2019-02-12 13:00:48.000,2019-02-12 13:58:33.000,2019-02-12 14:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,18.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,18.0
876,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.681,2019-02-12 13:00:48.000,2019-02-12 13:58:33.000,2019-02-12 14:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,18.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,18.0
879,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.681,2019-02-12 13:10:56.000,2019-02-12 13:55:57.000,2019-02-12 14:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,2.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,2.0
875,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.681,2019-02-12 13:22:20.000,2019-02-12 13:22:20.000,2019-02-12 14:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['104.43.212.12'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,centralus,eastus,104.43.212.12,1.0
880,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.681,2019-02-12 13:42:14.000,2019-02-12 13:42:14.000,2019-02-12 14:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.77.232.95'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,westcentralus,eastus,40.77.232.95,1.0
878,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 14:22:40.681,2019-02-12 13:46:48.000,2019-02-12 13:46:48.000,2019-02-12 14:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['13.107.4.50'],,,T,http,80.0,O,1.0,0.0,0.0,0.0,,eastus,13.107.4.50,1.0
940,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 15:23:51.222,2019-02-12 14:00:08.000,2019-02-12 14:54:14.000,2019-02-12 15:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '40.77.228.69']",,,T,https,443.0,O,5.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,5.0
941,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 15:23:51.222,2019-02-12 14:00:08.000,2019-02-12 14:54:14.000,2019-02-12 15:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '40.77.228.69']",,,T,https,443.0,O,5.0,0.0,0.0,0.0,eastus2,eastus,40.77.228.69,5.0
931,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 15:23:51.206,2019-02-12 14:02:46.000,2019-02-12 14:58:40.000,2019-02-12 15:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,16.0
932,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 15:23:51.206,2019-02-12 14:02:46.000,2019-02-12 14:58:40.000,2019-02-12 15:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,16.0
933,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 15:23:51.206,2019-02-12 14:10:57.000,2019-02-12 14:40:57.000,2019-02-12 15:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,2.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,2.0
936,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 15:23:51.206,2019-02-12 14:28:42.000,2019-02-12 14:28:42.000,2019-02-12 15:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['172.217.15.99'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,,eastus,172.217.15.99,1.0
918,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.678,2019-02-12 15:00:09.000,2019-02-12 15:45:09.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['65.55.44.109'],,,T,https,443.0,O,4.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,4.0
886,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.663,2019-02-12 15:04:13.000,2019-02-12 15:58:41.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '40.85.232.64', '13.71.172.128']",,,T,https,443.0,O,24.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,24.0
887,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.663,2019-02-12 15:04:13.000,2019-02-12 15:58:41.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '40.85.232.64', '13.71.172.128']",,,T,https,443.0,O,24.0,0.0,0.0,0.0,canadacentral,eastus,40.85.232.64,24.0
888,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.663,2019-02-12 15:04:13.000,2019-02-12 15:58:41.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '40.85.232.64', '13.71.172.128']",,,T,https,443.0,O,24.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,24.0
